,body,climate_control,color,cruise_control,defects,door_count,driver_side,drivetrain,electric_windows,engine,engine_power,first_registration_country,fuel,gear_count,gearbox,gps,inspection,leather_seats,manufacturer,model,price,seats,year
10322,suv,1.0,,1.0,,4/5,0.0,AWD,1.0,3.0l.,135.0,,diesel,5.0,1.0,1.0,2020-03,1.0,BMW,X5,2500,5.0,2002
10323,suv,1.0,,1.0,,4/5,1.0,AWD,1.0,3.5l.,179.0,,petrol/lpg,,1.0,,2020-01,1.0,Nissan,Murano,2500,5.0,2003
10324,other,,,,,2/3,1.0,FWD,,2.2l.,95.0,D,petrol/lpg,6.0,0.0,1.0,2020-11,,Mercedes-Benz,Vito,2500,9.0,2000
10325,sedan,,,,,4/5,1.0,FWD,,2.5l.,103.0,,diesel,6.0,0.0,,,,Audi,A6,2500,,1996
10326,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.8l.,85.0,FR,diesel,5.0,0.0,,,,Ford,Focus,2500,5.0,2008
10327,hatchback,1.0,,,,4/5,1.0,FWD,1.0,1.7l.,81.0,,diesel,,0.0,,2020-01,,Opel,Astra,2500,5.0,2009
10328,other,,,,,4/5,1.0,FWD,1.0,1.9l.,77.0,D,diesel,6.0,0.0,,,,Volkswagen,Touran,2500,5.0,2007
10329,hatchback,,,,,2/3,1.0,,1.0,1.6l.,66.0,D,petrol,5.0,0.0,,2020-05,,MINI,ONE,2500,4.0,2004
10330,other,1.0,,1.0,,4/5,1.0,FWD,1.0,1.6l.,80.0,FR,diesel,6.0,1.0,,,,Citroen,C4 Grand Picasso,2500,5.0,2007
10331,other,1.0,,,,4/5,1.0,FWD,1.0,2.5l.,96.0,,diesel,6.0,0.0,,,,Volkswagen,Transporter,2500,3.0,2004
10332,suv,,,,,4/5,1.0,AWD,1.0,2.7l.,92.0,FR,diesel,5.0,0.0,,2019-11,,Nissan,Terrano,2500,7.0,2001
10333,other,1.0,,,,4/5,1.0,FWD,1.0,1.7l.,74.0,,diesel,5.0,0.0,,,,Opel,Meriva,2500,5.0,2006
10334,hatchback,1.0,,,,4/5,1.0,,1.0,1.8l.,103.0,,petrol,,1.0,,,,BMW,316,2500,,2000
10335,sedan,,,,,4/5,1.0,FWD,,2.5l.,110.0,,petrol/lpg,,1.0,,2019-10,,Volkswagen,Jetta,2500,5.0,2008
10336,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,1.3l.,66.0,,diesel,6.0,0.0,,,,Opel,Astra,2500,5.0,2007
10337,sedan,1.0,,1.0,,4/5,1.0,,1.0,3.0l.,130.0,D,diesel,,1.0,1.0,2019-08,1.0,Mercedes-Benz,E 300,2500,,1999
10338,sedan,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,85.0,D,petrol/lpg,5.0,1.0,,,,Volkswagen,Passat,2500,5.0,2003
10339,other,1.0,,1.0,,4/5,1.0,FWD,1.0,2.2l.,130.0,LT,diesel,6.0,0.0,1.0,2020-12,,Toyota,Corolla Verso,2500,7.0,2007
10340,avant,1.0,,,,4/5,1.0,,1.0,1.9l.,,,diesel,,0.0,,,1.0,Audi,A4,2500,,2003
10341,other,1.0,,,,4/5,1.0,FWD,1.0,1.9l.,,FR,diesel,5.0,0.0,,,,Volkswagen,Golf Plus,2500,5.0,2005
10342,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,3.2l.,174.0,,petrol,5.0,1.0,,2021-05,1.0,Jaguar,XJ,2500,5.0,2000
10343,hatchback,,,1.0,,4/5,1.0,FWD,1.0,1.9l.,88.0,,diesel,5.0,0.0,,2021-03,,Fiat,Bravo,2500,5.0,2008
10344,hatchback,,,,,4/5,1.0,,1.0,1.4l.,55.0,D,petrol,5.0,0.0,,2021-05,,Volkswagen,Golf Plus,2500,5.0,2005
10345,other,1.0,,,,4/5,1.0,FWD,1.0,1.9l.,74.0,D,diesel,,0.0,1.0,,1.0,Opel,Zafira,2500,7.0,2007
10346,suv,1.0,,,,4/5,1.0,AWD,1.0,2.5l.,103.0,FR,diesel,5.0,0.0,1.0,2019-12,1.0,Kia,Sorento,2500,5.0,2004
10347,sedan,,,,,4/5,1.0,,,2.0l.,90.0,,diesel,,0.0,,,,BMW,320,2500,,2006
10348,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,114.0,,petrol,5.0,0.0,,,,Honda,Accord,2500,5.0,2004
10349,cabriolet,,,1.0,,2/3,1.0,FWD,1.0,2.4l.,164.0,,petrol,5.0,0.0,,2020-06,1.0,Chrysler,PT Cruiser,2500,,2006
10350,sedan,1.0,,,,4/5,1.0,AWD,1.0,4.2l.,220.0,,petrol/lpg,5.0,1.0,,2020-08,1.0,Audi,A8,2500,5.0,1997
10351,suv,,,,,4/5,1.0,AWD,,2.2l.,84.0,,diesel,,0.0,,2021-02,,Nissan,X-Trail,2500,5.0,2003
10352,suv,,,,,4/5,1.0,,1.0,4.4l.,210.0,FR,petrol,,1.0,,2021-01,1.0,BMW,X5,2500,,2000
10353,sedan,,,,,,,,,2.0l.,116.0,,petrol,,0.0,,,,Subaru,Forester,2500,,2006
10354,hatchback,1.0,,,,,,,,1.4l.,50.0,,diesel,,0.0,,,,Peugeot,207,2500,,2008
10355,hatchback,1.0,,,,4/5,1.0,FWD,,1.3l.,55.0,,diesel,5.0,0.0,,2020-08,,Opel,Corsa,2500,5.0,2009
10356,sedan,1.0,,,,4/5,1.0,RWD,1.0,2.7l.,130.0,,diesel,5.0,1.0,,2020-03,,Mercedes-Benz,E 270,2400,,2002
10357,other,,,,,2/3,1.0,,,2.8l.,,,diesel,,0.0,,,,Fiat,Ducato,2500,,2006
